0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	2.000000
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.500000
14	5.000000
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.125000
13	2.000000
14	7.625000
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.031250
12	0.687500
13	4.437500
14	8.937500
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.007812
11	0.218750
12	2.023438
13	7.062500
14	8.890625
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.001953
10	0.066406
11	0.804688
12	4.167969
13	8.884766
14	6.164062
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000488
9	0.019531
10	0.293457
11	2.046875
12	6.650879
13	8.847656
14	2.576660
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000122
8	0.005615
9	0.100830
10	0.890381
11	4.001709
12	8.531982
13	6.693604
14	-0.087158
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000031
7	0.001587
8	0.033173
9	0.355713
10	2.067749
11	6.311279
12	8.820923
13	3.303955
14	-1.033997
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000008
6	0.000443
7	0.010559
8	0.133469
9	0.957970
10	3.877991
11	8.187378
12	7.103210
13	0.209061
14	-0.637848
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000002
5	0.000122
6	0.003275
7	0.047729
8	0.409163
9	2.084106
10	6.035574
11	8.715088
12	3.933002
13	-1.374023
14	0.129490
15	0.000000



0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000033
5	0.000995
6	0.016433
7	0.164145
8	1.013234
9	3.779374
10	7.875169
11	7.377398
12	0.631559
13	-1.254473
14	0.488577
15	0.000000



0	0.000000
1	0.000000
